"term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome"
"(Intercept)",-41.5851124585319,6.81324806299949,-6.10356647431743,1.78676276990801e-07,-55.286650464551,-27.8835744525128,47.6520463531377,"gsav_gni"
"lkalib_ci",-1.01914586642348,1.35798207280144,-0.750485508487633,0.456953131767132,-3.75590154457327,1.71760981172631,44.044078282291,"gsav_gni"
"lcredit",-0.0347451812877739,0.0134229804434498,-2.58848483272052,0.0183023099524503,-0.0628968843973678,-0.00659347817818002,18.4472826768336,"gsav_gni"
"lngni",7.85281462748858,1.00990421074907,7.77580145117324,7.95261535817829e-09,5.79455937481324,9.91106988016392,31.5513998368142,"gsav_gni"
"lntot",1.27639434497418,1.49577389887677,0.853333746452365,0.404741044707809,-1.86720621387421,4.41999490382257,17.9128545493257,"gsav_gni"
"trade",0.00514018331710264,0.0115627032801709,0.444548579389529,0.664439029579665,-0.0200103800462329,0.0302907466804382,12.1852042887072,"gsav_gni"
"urban_pop",-0.0382319526038671,0.0422454558147233,-0.904995622997695,0.381557559410145,-0.129282179630875,0.0528182744231408,13.3098864866846,"gsav_gni"
"agedep_old",-0.470055807225214,0.0932652594524067,-5.03998820123461,1.11493081562524e-05,-0.658729030044693,-0.281382584405736,38.8298760118333,"gsav_gni"
"asia",8.74856979267447,2.15036781127689,4.06840622650483,0.00042633510247792,4.31610353081068,13.1810360545383,24.5949909691839,"gsav_gni"
"latin",-4.44263158378562,1.49140323832326,-2.9788265638878,0.00547932377192906,-7.48038298514743,-1.40488018242381,32.0369971972407,"gsav_gni"
"oecd",-0.546433136910544,1.13728596220494,-0.480471187608025,0.634069228498031,-2.86045051902293,1.76758424520184,32.9281952952191,"gsav_gni"
"year_factor1983",2.15788462264054,1.04024429189667,2.07440179143506,0.0481234435319527,0.0191933313612074,4.29657591391988,25.8909215075267,"gsav_gni"
"year_factor1984",1.19865421890017,0.952638621490926,1.25824650802443,0.219228769767558,-0.757317559962288,3.15462599776263,26.6164578106477,"gsav_gni"
"year_factor1985",1.09485216472278,1.15797864450403,0.945485626975198,0.352939638743697,-1.28304597251048,3.47275030195605,26.5414482813988,"gsav_gni"
"year_factor1986",0.908345991929517,1.47799343590617,0.614580531863191,0.543808229072804,-2.1195775130416,3.93626949690064,27.9199326892304,"gsav_gni"
"year_factor1987",0.914192550418742,1.69642300702428,0.538894218383858,0.594040231971048,-2.55417330410937,4.38255840494685,29.234557166985,"gsav_gni"
"year_factor1988",1.29712832136605,1.72800481274881,0.750650873074044,0.45861469687255,-2.22948941199825,4.82374605473034,30.5030404966676,"gsav_gni"
"year_factor1989",2.07894069490364,1.85148354643869,1.12285129344112,0.269873797704691,-1.69274693969887,5.85062832950614,31.9268174495341,"gsav_gni"
"year_factor1990",3.16697463294977,1.64172474668655,1.92905335644211,0.0626985751330212,-0.178064134600498,6.51201340050004,31.7687604321163,"gsav_gni"
"year_factor1991",2.1020376777787,1.57626508569262,1.33355594617833,0.191439071010897,-1.10432482364001,5.30840017919741,33.1559503840865,"gsav_gni"
"year_factor1992",2.6355874610677,1.78504979388291,1.47647839858555,0.149074013880977,-0.992884882201586,6.26405980433699,33.793999490732,"gsav_gni"
"year_factor1993",3.38597314346547,2.09809191647994,1.61383451166728,0.116439279746789,-0.88867005876803,7.66061634569898,31.8159462949351,"gsav_gni"
"year_factor1994",3.57895752174437,1.93631428723219,1.84833502770886,0.0730583118779504,-0.352646860267767,7.5105619037565,34.8321139016436,"gsav_gni"
"year_factor1995",3.11173795443681,1.78112729256619,1.74706095820559,0.0889005171286273,-0.496828496336248,6.72030440520986,37.103642219102,"gsav_gni"
"year_factor1996",1.86491562606439,1.70266225687007,1.09529392487538,0.280438363681839,-1.58453848985823,5.314369741987,37.1490976642887,"gsav_gni"
"year_factor1997",0.354483029514281,1.58295069457781,0.223938137004845,0.824077259312273,-2.85640010788054,3.5653661669091,35.8359642856526,"gsav_gni"
"year_factor1998",-0.437583043642395,1.59982518938678,-0.273519286072826,0.786031669538226,-3.68322362400039,2.8080575367156,35.6693363322789,"gsav_gni"
"year_factor1999",0.35289656626273,1.64370563695608,0.214695720649986,0.831211116936095,-2.98021188724138,3.68600501976684,36.1502707285601,"gsav_gni"
"year_factor2000",2.02043485642507,1.71533086521453,1.17786888663744,0.246548964863355,-1.45797765816222,5.49884737101236,36.1315444037498,"gsav_gni"
"year_factor2001",1.43015843549208,1.63631780390595,0.874010190488815,0.387944240314276,-1.8892117949823,4.74952866596646,35.7629645415235,"gsav_gni"
"year_factor2002",1.15423635619067,1.71316762970799,0.673743967709346,0.504745643354269,-2.31933887975199,4.62781159213334,36.2675459102983,"gsav_gni"
"year_factor2003",1.89645597451584,1.80013529014969,1.05350746962921,0.298949824015302,-1.75114361901472,5.5440555680464,36.946275825661,"gsav_gni"
"year_factor2004",2.68273922647967,1.74222958589117,1.53983105797587,0.132518822114808,-0.853101605415106,6.21858005837445,35.299735933521,"gsav_gni"
"year_factor2005",3.52819495926356,1.85899398580202,1.89790552643525,0.0659949560897633,-0.245990945226802,7.30238086375392,34.9410874756966,"gsav_gni"
"year_factor2006",3.81268125934045,1.86115609367312,2.04855534272563,0.0480133364239991,0.035213332953981,7.59014918572691,35.2295369419391,"gsav_gni"
"year_factor2007",3.91155272236457,1.65254216576917,2.36699117480246,0.0235005183956225,0.558625652461993,7.26447979226714,35.5673323543552,"gsav_gni"
"year_factor2008",2.22973948625525,1.7901180486124,1.24558237261706,0.221221587883651,-1.404861200264,5.8643401727745,34.8744223596895,"gsav_gni"
"year_factor2009",0.923114287990801,1.77970115693127,0.518690615216839,0.607293961501291,-2.6919906499747,4.5382192259563,34.4352105104762,"gsav_gni"
"year_factor2010",2.05312321958147,1.77341807627817,1.1577209271997,0.254781862825975,-1.5465157564628,5.65276219562575,35.161525530685,"gsav_gni"
