"term","estimate","std.error","statistic","p.value"
"lkalib_ci",0.350833604976169,0.529076719237416,0.663105353571108,0.507365582431271
"lcredit",-0.045859709158676,0.00613089223697206,-7.48010361071447,1.26222489750844e-13
"lngni",12.7129634409039,0.914217086288671,13.9058475624352,1.99924008318003e-41
"gni_gr",0.171573035626748,0.0323065050544215,5.3107891224299,1.25675220110647e-07
"lntot",5.34454363678793,0.793633829535324,6.73426892590653,2.34466830694891e-11
"trade",0.057904058294177,0.009599455151039,6.03201508659684,2.03873578372747e-09
"urban_pop",0.153300830892867,0.0538323468286902,2.84774563852313,0.00446338726773593
"agedep_old",-0.34502811679072,0.124469088667982,-2.77199841730242,0.00564061326119945
"oecd",-1.27786601288567,0.811744444756755,-1.57422206106824,0.115648272533573
"year_factor1983",2.14681301397679,1.38427982788159,1.5508519092286,0.12114939868504
"year_factor1984",0.64987936950209,1.37169055432064,0.473779867809878,0.635726257242058
"year_factor1985",0.890604303957543,1.38964358316491,0.640886853828514,0.521694686571317
"year_factor1986",1.13722284506201,1.38161138442138,0.823113400689209,0.410575136016695
"year_factor1987",0.749296955398678,1.36766517471016,0.547865785613404,0.583866069606487
"year_factor1988",0.993871028763497,1.36368925791734,0.728810484495097,0.466232053950379
"year_factor1989",1.24931918899668,1.37215803375329,0.910477625947642,0.362717840069969
"year_factor1990",1.55766646326142,1.33226270187913,1.16918867507464,0.242514504619512
"year_factor1991",0.515085043735523,1.31957255263735,0.390342344349352,0.696339174032278
"year_factor1992",0.323503202848948,1.35571969123849,0.238621010626037,0.811432262908081
"year_factor1993",0.294774434875345,1.41269789692086,0.208660631206319,0.834741676308077
"year_factor1994",0.101410887218484,1.38965330079094,0.072975674695814,0.941835262674505
"year_factor1995",-0.540132445165643,1.4014845219623,-0.385400221480415,0.699995893260992
"year_factor1996",-2.11002338026791,1.33614888521798,-1.57918283180222,0.114506239045739
"year_factor1997",-3.64559147138226,1.32700068669256,-2.74724158618833,0.0060822369066663
"year_factor1998",-4.10918042082673,1.30614469187955,-3.14603768355373,0.00168769678224238
"year_factor1999",-3.38474607367569,1.32754000254432,-2.54963772631227,0.010882842902417
"year_factor2000",-2.65375321914167,1.32867665000141,-1.99729047630879,0.0459750931565707
"year_factor2001",-2.67119854067051,1.32950437180457,-2.00916867768161,0.0446991947562797
"year_factor2002",-2.30446291158207,1.35984446077836,-1.69465183559524,0.0903503089208879
"year_factor2003",-2.61096519547599,1.365179616377,-1.91254334898812,0.0559979607389719
"year_factor2004",-2.72328373563228,1.36059000977075,-2.00154617928669,0.0455144803915012
"year_factor2005",-2.59966104397679,1.38472983578263,-1.87737779370335,0.0606614282211607
"year_factor2006",-2.61153301524584,1.4153588692115,-1.84513841122198,0.0652156021217303
"year_factor2007",-2.33181702529267,1.43539825773847,-1.62450874711701,0.104478633415089
"year_factor2008",-3.52854537488987,1.45455484081225,-2.42585929102505,0.0153901908817687
"year_factor2009",-3.55024606568224,1.43840560077381,-2.46818148078146,0.0136916661776656
"year_factor2010",-3.62218357786483,1.46419202067042,-2.47384463699393,0.0134774421326716
"year_factor2011",-4.15451463281548,1.50670946912622,-2.75734288391031,0.00589841144046429
"year_factor2012",-4.40362361390562,1.51381864929959,-2.90895056415316,0.00368017603328306
"year_factor2013",-4.65379490870703,1.53296855069833,-3.03580585954424,0.00244050276217668
"year_factor2014",-5.20001291992657,1.58549234424188,-3.27974647043346,0.00106297509815573
